brand,level_1,TimeIdx,clicks,quantity,sales,cr,aov,idx_clicks,idx_cr,idx_aov,Level,Year,level_2
acer,0.0,1,2182.0,5.0,2774.61,0.00229147571035747,554.922,1.8931614147135023,0.37550026531142305,1.0308227737209035,Monthly,Overall,
acer,1.0,2,1081.0,2.0,402.15,0.0018501387604070306,201.075,0.9379044405615472,0.3031791226307216,0.37351679916444225,Monthly,Overall,
acer,2.0,3,836.0,9.0,7000.14,0.01076555023923445,777.7933333333334,0.7253359040790504,1.7641325861688342,1.4448284285868895,Monthly,Overall,
acer,3.0,4,854.0,6.0,4503.56,0.00702576112412178,750.5933333333334,0.7409531843104175,1.1512996424958197,1.3943017249326666,Monthly,Overall,
acer,4.0,5,763.5,6.0,2175.35,0.007858546168958742,362.55833333333334,0.6624329698138217,1.2877667252016112,0.6734881421214054,Monthly,Overall,
acer,5.0,6,701.5,3.0,1771.3999999999999,0.0042765502494654314,590.4666666666666,0.6086401156835572,0.700791086736586,1.0968505251604177,Monthly,Overall,
acer,6.0,7,602.5,3.0,717.65,0.004979253112033195,239.21666666666667,0.5227450744110381,0.8159418213206888,0.4443687362432956,Monthly,Overall,
acer,7.0,8,726.0,6.0,3563.56,0.008264462809917356,593.9266666666666,0.6298969693318068,1.3542836015033473,1.1032778190811388,Monthly,Overall,
acer,8.0,9,992.0,3.0,1516.76,0.0030241935483870967,505.58666666666664,0.860685666084232,0.4955695033726966,0.9391774881688582,Monthly,Overall,
acer,9.0,10,1289.3333333333333,9.0,5197.83,0.006980351602895554,577.5366666666666,1.1186599987949628,1.1438584607320155,1.0728317649306716,Monthly,Overall,
acer,10.0,11,2362.0,13.0,8423.65,0.00550381033022862,647.9730769230769,2.0493342170271736,0.9019001291976145,1.2036743982943807,Monthly,Overall,
acer,11.0,12,1441.0,15.0,9874.53,0.010409437890353921,658.302,1.2502500451888894,1.7057770553286435,1.2228613995949307,Monthly,Overall,
honor,0.0,1,2094.5,8.0,2928.65,0.0038195273334924802,366.08125,0.777480473281262,0.3542084666662753,1.0994981384842684,Monthly,Overall,
honor,1.0,2,2625.0,17.0,6845.51,0.0064761904761904765,402.6770588235294,0.974402598406929,0.600577322302511,1.2094109616015318,Monthly,Overall,
honor,2.0,3,2154.0,27.0,6668.53,0.012534818941504178,246.9825925925926,0.7995669321784857,1.162431528706933,0.7417940711073675,Monthly,Overall,
honor,3.0,4,1914.5,22.0,9434.52,0.01149125097936798,428.8418181818182,0.7106642951047869,1.0656549970955405,1.287994894016337,Monthly,Overall,
honor,4.0,5,1954.0,39.0,11613.34,0.019959058341862845,297.77794871794873,0.7253267342046245,1.8509273096128473,0.894354191308756,Monthly,Overall,
honor,5.0,6,1975.0,32.0,8225.61,0.01620253164556962,257.0503125,0.7331219549918799,1.5025612829012935,0.7720317281765987,Monthly,Overall,
honor,6.0,7,1654.0,27.0,7781.9400000000005,0.016324062877871828,288.22,0.6139664372438326,1.5138316280742041,0.8656475945543123,Monthly,Overall,
honor,7.0,8,1932.0,26.0,8605.21,0.013457556935817806,330.96961538461534,0.7171603124274998,1.2480027477513815,0.9940429235592886,Monthly,Overall,
honor,8.0,9,3001.0,22.0,8898.029999999999,0.007330889703432189,404.455909090909,1.1139741705977881,0.6798388843516869,1.214753607687957,Monthly,Overall,
honor,9.0,10,3075.8333333333335,11.0,3011.96,0.0035762665944188564,273.81454545454545,1.1417523780063414,0.33164938909879366,0.8223818701919009,Monthly,Overall,
honor,10.0,11,6436.0,44.0,14303.76,0.006836544437538844,325.0854545454545,2.3890495707988553,0.6339951808388479,0.9763702787865794,Monthly,Overall,
honor,11.0,12,3511.6666666666665,40.0,14939.2,0.011390602752728999,373.48,1.3035341427577138,1.0563212625996872,1.1217197405251007,Monthly,Overall,
hp store,0.0,1,6959.0,140.0,44619.97,0.020117833021985918,318.71407142857146,1.7643404956582367,0.8392526649734074,0.7619275231673123,Monthly,Overall,
hp store,1.0,2,3258.3333333333335,116.0,43330.6,0.035601023017902814,373.5396551724138,0.8260970611227314,1.4851626122406867,0.8929952260801717,Monthly,Overall,
hp store,2.0,3,3345.0,118.0,32376.88,0.03527653213751868,274.3803389830509,0.8480699752804716,1.4716258741723107,0.6559419581008881,Monthly,Overall,
hp store,3.0,4,2973.0,76.0,24187.0,0.025563403969054828,318.25,0.7537554668187868,1.0664247428326261,0.7608180999386507,Monthly,Overall,
hp store,4.0,5,4662.0,57.0,28392.25,0.012226512226512226,498.109649122807,1.1819737592698232,0.510051602387612,1.1907960308145231,Monthly,Overall,
hp store,5.0,6,2154.0,59.0,27621.9,0.027390900649953576,468.1677966101695,0.5461114280281423,1.1426621516031523,1.119216130304521,Monthly,Overall,
