Date,brand,clicks,quantity,sales,canale,destinatari,CR,AOV,Campaign,C_volume
2022-10-25,acer,27.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-10-26,acer,31.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-10-27,acer,35.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-10-28,acer,27.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-10-29,acer,21.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-10-30,acer,22.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-10-31,acer,20.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-11-01,acer,24.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-11-02,acer,38.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-11-03,acer,41.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-11-04,acer,29.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-11-05,acer,27.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-11-06,acer,38.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-11-07,acer,34.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-11-08,acer,33.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-11-09,acer,41.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-11-10,acer,36.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-11-11,acer,25.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-11-12,acer,34.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-11-13,acer,28.0,1.0,460.29,,0.0,0.03571428571428571,460.29,no,no-campaign
2022-11-14,acer,38.0,1.0,921.35,,0.0,0.02631578947368421,921.35,no,no-campaign
2022-11-15,acer,36.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-11-16,acer,47.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-11-17,acer,38.0,1.0,974.71,,0.0,0.02631578947368421,974.71,no,no-campaign
2022-11-18,acer,45.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-11-19,acer,57.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-11-20,acer,62.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-11-21,acer,49.0,1.0,556.68,,0.0,0.02040816326530612,556.68,no,no-campaign
2022-11-22,acer,36.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-11-23,acer,45.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-11-24,acer,37.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-11-25,acer,47.0,1.0,368.03,,0.0,0.02127659574468085,368.03,no,no-campaign
2022-11-26,acer,26.0,2.0,1576.35,,0.0,0.07692307692307693,788.175,no,no-campaign
2022-11-27,acer,27.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-11-28,acer,42.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-11-29,acer,17.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-11-30,acer,48.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-12-01,acer,24.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-12-02,acer,24.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-12-03,acer,27.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-12-04,acer,32.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-12-05,acer,34.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-12-06,acer,22.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-12-07,acer,27.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-12-08,acer,28.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-12-09,acer,10.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-12-10,acer,23.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-12-11,acer,25.0,2.0,916.48,,0.0,0.08,458.24,no,no-campaign
2022-12-12,acer,36.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-12-13,acer,25.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-12-14,acer,26.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-12-15,acer,36.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-12-16,acer,28.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-12-17,acer,35.0,2.0,1184.92,,0.0,0.05714285714285714,592.46,no,no-campaign
2022-12-18,acer,24.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-12-19,acer,27.0,1.0,1146.76,,0.0,0.037037037037037035,1146.76,no,no-campaign
2022-12-20,acer,29.0,1.0,765.61,,0.0,0.034482758620689655,765.61,no,no-campaign
2022-12-21,acer,35.0,1.0,1310.66,,0.0,0.02857142857142857,1310.66,no,no-campaign
2022-12-22,acer,29.0,1.0,94.13,,0.0,0.034482758620689655,94.13,no,no-campaign
2022-12-23,acer,23.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-12-24,acer,18.0,1.0,300.45,,0.0,0.05555555555555555,300.45,no,no-campaign
2022-12-25,acer,25.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-12-26,acer,28.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-12-27,acer,31.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-12-28,acer,30.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2022-12-29,acer,26.0,1.0,1146.76,,0.0,0.038461538461538464,1146.76,no,no-campaign
2022-12-30,acer,23.0,1.0,839.39,,0.0,0.043478260869565216,839.39,no,no-campaign
2022-12-31,acer,9.0,1.0,343.48,,0.0,0.1111111111111111,343.48,no,no-campaign
2023-01-01,acer,35.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2023-01-02,acer,52.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2023-01-03,acer,59.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2023-01-04,acer,24.0,1.0,228.73,,0.0,0.041666666666666664,228.73,no,no-campaign
2023-01-05,acer,30.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2023-01-06,acer,25.0,1.0,900.82,,0.0,0.04,900.82,no,no-campaign
2023-01-07,acer,22.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2023-01-08,acer,22.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2023-01-09,acer,78.0,0.0,0.0,push,0.0,0.0,0.0,no,no-campaign
2023-01-10,acer,135.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2023-01-11,acer,57.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2023-01-12,acer,56.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2023-01-13,acer,51.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2023-01-14,acer,40.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2023-01-15,acer,42.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2023-01-16,acer,63.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2023-01-17,acer,59.0,1.0,839.39,,0.0,0.01694915254237288,839.39,no,no-campaign
2023-01-18,acer,87.0,0.0,0.0,push,605004.0,0.0,0.0,yes,national
2023-01-19,acer,45.0,1.0,777.87,,0.0,0.022222222222222223,777.87,no,no-campaign
2023-01-20,acer,60.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2023-01-21,acer,46.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2023-01-22,acer,31.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2023-01-23,acer,34.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2023-01-24,acer,35.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2023-01-25,acer,24.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2023-01-26,acer,27.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2023-01-27,acer,26.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2023-01-28,acer,27.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2023-01-29,acer,33.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2023-01-30,acer,24.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2023-01-31,acer,28.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2023-02-01,acer,30.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2023-02-02,acer,20.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2023-02-03,acer,20.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2023-02-04,acer,19.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2023-02-05,acer,27.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
2023-02-06,acer,30.0,0.0,0.0,push,609946.0,0.0,0.0,yes,national
2023-02-07,acer,32.0,0.0,0.0,,0.0,0.0,0.0,no,no-campaign
